no|title|text|senti_value
5867|Sangat membantu|Belanja aman dan murah dengan buka lapak|5
5868|Simple, mudah, cepat, dan aman|Satu satunya online shop yang transaksinya mudah, Aman, dan cepat. Banyak Cara pembayarannya dan Pelayanan cepat ketika komplain dengan solusi yang selalu memuaskan.|5
5869|Bl aman dan terpecaya|sdh baik|5
5870|bukalapak.com semakin mantap semakin terpercaya....trimz|Baiknya...mantap dan terpercaya teruskan dan makin majukan bukalapak...membantu saya berbelanja dengan penuh tanggung jawab|5
5871|Simple, Semua ada, Pengiriman Cepat dan Memuaskan,|Ketika disekitar ku tidak ditemukan barang yang dibutuhkan, Bukalapak menjawab problem itu.|5
5872|Mangtap Sistem Rekber Nya|Aman Buat Seller Kecil Keciclan|5
5873|Terpercaya|BL memberikan kemudahan dalam bertransaksi, sistem pembayaran yang aman, terpercaya dan banyak opsi barang|4
5874|Mantap Surantap|Jaminan 100% Uang Kembali “Pilihan barang yang banyak dengan harga yang sangat terjangkau. CS-nya juga cepat tanggap. Sangat merekomendasikan berbelanja di situs ini. Walau masih ada brg yg dibeli udah tunggu sd waktu tau2 cancel, sebaiknya kalu emang gak memungkinkan diproses dan dikirim, secepatnya Pelapak yth action biar Pembeli gak kecewa. BRAVO BL|5
5875|Mudah, Aman|Bukalapak.com memberikan kemudahan berbelanja online. Hampir semua barang bisa didapatkan disini. Jaya terus Bukalapak.com (y)|5
5877|AMAN DAN TERPECAYA|Tidak perlu kawatir untuk belanja di BUKA LAPAK .AMAN SEJAHTERA . SUKSES SELALU UNTUK BUKA LAPAK|5
5878|Bukalapak is always the best.|Semua transaksi dapat dilakukan dengan aman dan terjamin via BL. Komunikasi antar pembeli dan penjual bisa terjalin dengan baik. Respon Administrasi sebagai penengah juga oke. Pokoknya gak nyesel deh transaksi di BL. Keep trying to give the best BL!!!|5
5879|Mantap....|Semua ada yang di cari,sangat membantu saya sebagai orang yang sangat sibuk...|5
5880|well|Kurir yg sangat terpecaya dan yg paling gua suka , uang bisa kembali . Tapi tolong percepat waktu penjual untuk mengonfirmasi . Thanks to bukalapak|5
5881|Transaksi yang mudah dan aman dengan jenis barang yang lengkap|Aplikasi yang mudah dan selalu update akan barang2 yang dibutuhkan oleh konsumen|5
5882|review baik|Menurut sy managemen buka lapak udh baik, respon support nha jg cpt. Tapi mohon dong untuk nominal tambahan pembayaran bisa masuk lagi ke dompet masing2 user jd klebihan itu hanya sifatnya membedakan antara pentransfer sj. Dan buat iklan gratis dong buat pelapak dlm jangka waktu tiap bbrpa jam sekali misal atau dalam sehari cuma 2 produk yang bisa di letakan dlm list teratas. Sukses trs u/ bukalapak|4
5883|BUKALAPAK MANTAP....!!!!!!|Tempat Belanja Online yg Mantap dan Mudah dlm mencari barang kebutuhan, Semua Ada.... BUKALAPAK mmng MANTAPPPPPPPP.......!!!!!.|5
5884|Sangat puas|Toko Online terpercaya, teraman, termudah dan lengkap se Indonesia. Semua yg dicari ada disini. Bisa chat dengan para pelapak. Metode pembayaran yg bermacam macam. Recomended E-Commerce.|5
5885|The Best Online Store|Proses pengiriman barang yang cepat, tepat dan aman tidak membuat khawatir|5
5886|salah satu e-commerce yang dapat dipercaya|ada nya fitur pembayaran COD seperti e-commerce sebelah untuk pelapak dan pembeli yang satu daerah|4
5887|Sangat bagus|Transaksi terjamin...dan respon cepat|5
5888|GOOD|"untuk barang"" disini murah dan bagus tp untuk pengiriman terkesan lambat."|4
5889|Mudah, Cepat dan Aman|Sudah bagus|5
5890|mudah dan murah|Untuk mencari onderdil mobil sangat banyak dan harga nya lebih murah dari toko onderdil di kota saya|5
5891|bukalapak recommended banget lah ..|"Satu""nya online shop yg aman karena memberikan riwayat pengiriman lengkap dan sangat diperlukan. Bukalapak best of the best dah jangan lupa promo"" gilanya yg sering"" yee"|5
5892|Selller bagus dapat dipercaya selama ada Bukalapak aman terperca|Jasa pengiriman di perbanyak jangan hanya 1 kurir|5
5893|Bisa dipercaya|Pengiriman tepat waktu|5
5894|Respec cepat...good|Cepat...barang2nya bagus|5
5895|Best performance|Pelayanan cepat dan barang sesuai dengan spek|5
5896|very good|terbaik|5
5897|Dibukalapak transaksi aman, barang & harga recomànded.|Belanja dibukalapak selalu puas, selain transaksi aman, bàrang dan harga jg bs diacungin jempol. Cara pembayaran gampang dan mudah dimengerti. Pokoknya bila cari barang langsung ingat bukalapak.|5
5898|sangat baik|sudah sangat keren sekali|5
5899|Transaksi aman|Transaksi aman, ga perlu takut uang ilang|5
5900|layanan cepat dan kondis barang baik|Pelayanannya baik dan tidak mengecewakan|4
5901|bukalapak yahut..|Blanja online yang 100% saya percaya|5
5902|excelent|memudahkan mendapatkan barang berkwalitas dangan harga terbaik|5
5903|bukalapak emang terbaik|Pernah sekali order cancel,pegembalian dana cepet banget gak harus nunggu berharihari, emang top dah bukalapak|5
5904|trims buat BL,saya sudah bbrapa kali pesan barang,,memuaskan .|Saya blm menemukan sesuatu yg buruk.|5
5905|Trasaksi aman dan jaminan uang 100% kembali|Pilihan barang banyak, pembeli bisa memilih barang dengan harga termurah, jika transaksi cancel pengembalian uang juga cepat tidak berbelit-belit|5
5906|tempat belanja online terbaik dan sangat terpercaya..|shopping online terbaik dan aman.. recommended dan menjadi prioritas saya di setiap belanja online.. tak ragu dan tak takut. pokoknya luarbiasa..|5
5907|Terpercaya|Sebagai buyer diluar pulau jawa..Alangkah baiknya jika perbanyak promo ongkir. Karena ongkir yang mahal itu menjadi kendala untuk shoping dionline shop.|5
5908|Aman|Transaksi aman dan mudah|5
5909|jos gandhos|kalo lebih bagusnya ada lis kayak terapeak di ebay ituu|5
5911|Always on time|Barang yang dipesan selalu datang dalam waktu singkat dengan kualitas sesuai dengan yang dipesan.|5
5912|Terpercaya|Bukalapak tempat saya belanja online mudah dan terpercaya|5
5913|Terimakasih bukalapak mempermudah transaksiku|Bukalapak solusi belanja yg paling epektif ,aman dan terjamin.disamping itu juga mencari barang mulai dari harga termurah dgn barang yg berkualitas|5
5914|Berbelanja muda dan terpercaya terima kasih buka lapak|Pelayanan memuaskan|5
5916|Mau jual maupun beli ok|Mau jual maupun beli barang ok banget, ga pake repot cari ditoko.|5
5917|Bagus|Belanja online jadi lebih mudah ,hemat waktu,perlu tingkatkan keamanan akun .|5
5918|oke|terpercaya|5
5919|Trusted and accessible|Sangat di percaya krn dana masih di rekening Bukalapak sampen kita konfirm utk dana di teruskan ke penjual. Mudah dan ringan di akses pake media apapun. Sukses bukalapak|5
5920|Terus dikembangkan biar makin jos aplikasinya|Fitur-fitur di Bukalapak sangat simple, mudah dipahami dan dipelajari bagi pengguna yang masih awam.|5
5921|metode pembayaran via pulsa|terkadang ada orang yang anak smp atau sma yang tidak memiliki rekening atau tidak ada indomaret dan alfamart contoh didaerah paregean atau sampit kalimantan tengah tidak indomaret dan alfamart karena belum mencakup daerah tersebut mungkin pembayaran via pulsa menjadi sarana baru untuk meraka bertransaksi melalui bukalapak dengan pembayaran via pulsa|5
5922|Best|Kemudahan berbelanja online tanpa takut penipuan|5
5923|Salah satu yang terbaik.|Sejauh ini, Bukalapak sudah baik, namun saran kami, kalau bisa disederhanakan lagi tentang business flow-nya dan beberapa tampilan juga disederhanakan.|4
5924|Aman dalam bertransaksi|Aman dan mudah dalam bertransaksi|5
5925|SEMUA BARANG ADA|semua barang ada tinggal cari barang yang di inginkan pesan bayar dan barang yang dipesanpun sampai prosesnya cepat mudah tidak repot.|5
5927|100% puas|Barang terjamin, komplain barang direspon baik, tranksaksi belanja aman, dan dompet bukalapak sangat membantu banget.|5
5929|Cepat dalam melayani dan mudah di gunakan|Sangat cepat dalam hal pengiriman barang dan mudah di aplikasikan Kekurangan ketika pelapak akan mengganti rugi barang yang rusak selama 2 sampai 4 minggu dari admin gk ada FU lagi, padahal waktu yg di janjikan pelapak lewat dari 4 minggu|5
5930|Belanja di buka lapak aman dan dapat dipercaya|Dengan belanja online kita dapat menghemat waktu, pilihlah credibility penyedia jasa online|4
5931|Barang bagus, pengiriman lumayan|"Barang tidak hoax, safe payment and accessable, namun sedikit kecewa ketika melihat kenyataan berbeda dengan tagline dibawah display picture product ""pesan/bayar sebelum 15:00, barang akan di kirim hari ini"". Saya pesan pukul 11:00, saya bayar pukul 13:00. Ternyata barang baru datang hari kedua (saya pesan senin siang, rabu sore pukul skitar 16:00 baru datang) itu pun menggunakan JNE Yes yang Rp18000,-. Saya sudah chat, ternyata barang baru dikirim jam 06:00 esok hari (masih ada di history saya). Saran saya, tolong diingatkan lagi kepada pelapak agar lebih konsisten dan komitmen dengan tagline dan pelayanan ""No Omdo"". thx."|5
5933|Puas|Sangat puas dan dapat memantau terus keberadaan barang atau pesanan selalu ada berita lewat email pokoknya bukalapak top|5
5934|mudah dalam mencari kebutuhan nyaman dan selalu berkolerasi|Selalu menyediakan kebutuhan terupdate dengan harga nyaman Dan keamanan dalam bertransaksi selalu bisa berkorelasi dengan pelapak. I LIKE IT.|5
5935|bukalapak out of the box|salah satu situs yang memberikan inspirasi untuk usaha dan buka lapak beneran, mau baru, bekas atau ide lainnya......|4
5936|sangat mudah menemukan barang yang ingin dibeli.|belanja di bukalapak Aman ,di bukalapak.com ada jaminan 100% uang kembali bila barang yang sudah dibeli tidak sampai maka uang yang sudah dibayarkan dikembalikan 100%|4
5937|MERAKYAT|Saya yang berada jauh dari perkotaan sangat terbantu sekalih oleh BUKALAPAK hal-hal yang susah saya miliki sekarang sangat mudah saya raih. Jaya selalu BUKALAPAK|5
5938|Up to date, pergerakan barang selalu diinformasikan lewat email|Pergerakan barang selalu update lewat pemberitahuan email. Lebih baik lagi kalau ada gps tracking. Dan kalau bisa ada fasilitas free ongkir kayak toko sebelah|5
5939|good|semua yg di butuhkan ada di sini.coba kl bs bayar di tempat pasti lebih ok....|5
5940|dibanding toko lain, aku paling nyaman berbelanja di bukalapak|umumnya sudah memuaskan , tetapi terakhir , tanggal 12 Januari 2017, aku (dari kota lain) mengirim kado (untuk surprise) kepada seorang keponakan (ke kota lain) . rupanya tanggal 13 Januari 2017 sudah diterima , padahal aku tidak tahu sehingga tidak dapat segera memberi konfirmasi . kalau saja , aku mendapatkan notifikasi di hape atau email bahwa barang yang dipesan sudah diterima . thanks|4
5941|bukalapak praktis|1.bisa nego 2.pilihan ekspedisi 3.uang aman 4.filter yang terperinci|5
5942|Harganya Murah Dari Toko ONLINE lainnnya BukaLapak Memang TOP|Saya belanja di Bukalapak harganya itu lebih murah dari toko ONLINE lainnya saya coba survei dan terbukti Bukalapak yg paling murah dan banyak potongan harga, Tapi Saya merasa sangat tenang dan ketika pesanan belom di kirim dalam 3 hari di sistem Bukalapak akan ada GARANSI Uang kembali 100% ke BukaDompet, BELANJA ONLINE??? Di BukaLapak Aja MUDAH DAN TERPERCAYA|5
5943|Bagus|Lebih cepat mendapatkan barang|5
5944|Aman jaminan 100 % uang kembali dan mudah gak ribet|Bukalapak top banget metode pembayaran yang lengkap dan jaminan 100% uang kembali dan juga chat dengan pelapak pun mudah|5
5945|Sukses & Jaya Selalu untuk BukaLapak.|Senang bisa berbelanja kebutuhan sehari-hari di bukalapak soalnya mudah & cepat. Kalau bisa sekali - kali ada diskon dari bukalapak.|5
5946|Sangat Membantu|Online Shop terpecaya simple dan harga lumayan terjangkau|5
5947|belanja di bukalapak, no problem|Bukalapak ada jaminan uang kembali, belanja jd tenang dan senang....|5
5948|Cuma kurang bisa bayar di tempat|Mungkin bisa kyak si orange atw lebih yang bisa bayar di tempat dengan atw tnpa kurir tersendiri.|4
5949|Number One Of Online Shop In Indonesia|Dari Transaksi Hingga Finally Verifikasi Sangat Tinggi Kinerjanya. Terima Kasih Bukalapak.com|5
5950|keren|mantap pokok nya mh|5
5951|100% aman|Belanja aman dan mudah, tepat waktu ada jaminan uang kembali 100%|5
5952|Terpercaya|Bukalapak merupakan e-commerce yang menyajikan produk dengan pencapaian service level agreement (sla) yang tinggi baik dari kualitas barang maupun kecepatan layanan. Bravo bukalapak.|5
5953|Good|Semoga ongkirnya bs gratis ya|5
5954|Memuaskan|Sangat membantu saya dalam mencari kebutuhan. Apalagi ada layanan ojek online. Beli siang,sore sampai.|5
5955|Terpercaya|Sudah bagus maju terus BUKALAPAK|5
5956|Mempermudah belanja online|Terpacaya untuk aplikasi belanja online, terimakasih bukalapak|5
5957|Proses termudah|Proses pembelian barang sangat mudah, hanya dengan bbrapa tahap saja dan dengan metode bermacam2, hanya kurang jaminan akan penjualnya saja, sperti contoh : saya memberi barang untuk kado teman saya, saya langsung berikan dan ternyata barangnya tidak berfungsi dengan benar, komplain pun sudah tidak bisa padahal hanya 3 hari. Terima kasih|4
5958|Tempat paling aman buat belanja online :)|Kalau barang yang dipesan tidak sampai uang akan kembali kok jadi tenang aja belanja di bukalapak, bonus iklannya kreatif :)|5
5959|Good online shoop|Semua yg dibutuhkan ada disini memudahkan dalam berbelanja Kurangnya mungkin foto/tampilan produk lebih diperbaiki lagi|5
5960|terbaik|berikan selalu untuk kepuasan pelanggan|5
5961|Jangan pernah berbelanja di Bukalapak.com|Jangan pernah berbelanja di Bukalapak.com, karena apabila Anda mulai belanja di Bukalapak.com, Anda akan mulai kecanduan dan tidak akan berbelanja di Online Shop yang lain... Jaminan 100% uang kembali, Bukadompet, dan fitur yang lain, so addicted...|5
5962|Bukalapak baik.|Bukalapak pesanan barang tepat terkirim.semoga tetap menjadi yang terbaik.|4
5963|Bukalapak mudah cepat terpercaya|Maunya bukalapak buat juga minimum pembelian kayak toko sebelah mis beli minimum 5 pcs ada pre order juga kan makin mantap|5
5964|BELANJA AMAN DAN NYAMAN|Jaminan uang kembali jika pelapak tidak merespon... Bagus !! Kalu bisa dalam satu pelapak bisa mencantumkan lebih sari satu macam yang dijual, jadi tidak harus terpisah memasarkan.. Terima kasih|5
5965|uedaaannnn|pkok.e uedannn... josss... iku ungkapan ku knggo bukalapak.. wes pkok.e pol kondang lah.. opo meneh nggone bocah negeri dwe... josss.|5
5966|aman, terpercaya, bisa cicilan kartu kredit|mudah menemukan barang yang kita mau, dan transaksi yang pasti aman. banyak penjual yang dapat di percaya. yang pasti bisa cicilan dengan kartu kredit|5
5967|Best MarketPlace|Best Marketplace, Respone CS yang sangat cepat, Serta fitur-fitur keren yang cuma ada di bukalapak. dijamin bikin kamu jadi ketagihan belanja melalui bukalapak|5
5968|Terpercaya|Sejauh ini menjadi satu satunya E-commerce yang memudahkan transaksi dan bisa dipertanggung jawabkan setelah saya beberapa kali proses pembelian dan tiap proses nya jelas dari tahap calon customer pemilihan barang hingga sampai ke tangan saya sebagai pembeli|5
5969|Memuaskan|Bukalapak mmg termurah seandainya harga yg terpampang bisa fixed tanpa nego harga , konsumen merasa lbh nyaman karena dng nego , sdh kita bayar tetap ada perasaan mungkin bisa lbh murah lagi|4
5970|jualan dibukalapak sangat aman transparan dan tepat waktu|bagi saya penjual barang. berjualan di bukalapak sangat menyenangkan. nggak ribet. transparan. dan pencairannya juga sangat cepat|5
5971|Ini yang terbaik|Bukalapak adalah toko online terbaik menurut saya, segala pesanan di proses dengan baik dan sangat rapi. barang juga sampai sesuai jadwal.|5
5972|Respon costumer services cepat|Responnya cepat ketika mendapati keluhan dari pembeli maupun penjual..memberikan solusi yg cukup baik dalam masalah apapun.. Terus kembangkan agar lebih baik lagi..|5
5973|terbaik|Pelayanan yg mudah di akses, dan sistem otomatis utk setiap status pembeliannya. Memudahkan pemantauan si konsumen. Buruk nya terkadang ada beberapa pelapak yg menolak pesanan dan itu membuat bete.|5
5974|berkualitas.|aplikasi online yang sangat baik dan aman. sukses bukalapak.|4
5975|Respon feedback terkesan lambat|Mohon diperhatikan ketika tjd pengembalian barang, karna waktu menunggu uang untuk kembali terlalu lama|4
5976|Mantap|Pelayanan dan transaksi mudah|5
5977|pilihan barang beragam dan sistem transaksi yang aman|bukalapak menawarkan sisi keamanan dan kemudahan bertransaksi. Ini menjadi faktor utama bagi saya untuk memilih situs belanja online.|5
5978|bagus|Tidak pernah mengecewakan untuk saya pribadi|5
5979|Semua ada dan berpariasi harganya,siip bikalapak|Selama ini baik baik saja,tidak baiknya kayanya ga ada|5
5980|Hanya di Bukalapak.com|Saya hanya membuka Bukalapak.com dan mendapatkan barang yang saya inginkan.|5
5981|Belanja aman|Saya merasa aman belanja di Bukalapak , karena ada jaminan uang kembali bila barang tidak di kirim atau barang di kembalikan, Harga kompetitif,banyak pilihan produk, dan fitur fitur yg sangat membantu kami untuk berbela ja dengan mudah dan nyaman|4
5982|Transaksi di BL Aman dan Mudah|Pilihan barang yang banyak dengan harga yang sangat terjangkau. CS-nya juga cepat tanggap. Sangat merekomendasikan berbelanja di situs ini. pelapaknya ramah ramah :)|5
5983|Tempat Jualan Terpraktis|Yg baiknya adalah praktis mungkin tidak baiknya hanya lama untuk pencairan dana|5
5984|Menginspirasi pemula|Baik : terpercaya Kurang : fitur chat sering terganggu|5
5985|Toko Online Recomended|Service ke costumer cepat,yg terpenting ada garansi uang kembali & garansi penggantian barang yg sejenis,thx Bukalapak smoga tambah baik lagi kedepannya.|5
5986|BUKALAPAK BAGUUSSS|BELANJA DIBUKALAPAK MENGUNTUNGKAN[BISA HARGA GROSIR] JADI KITA BISA JUAL LAGI DENGAN HARGA YG SANGAT BERSAING|5
5987|joss|Good job|5
5988|Solutif|User friendly dan situs belanja yg ramah bagi pembeli maupun pelapak...|4
5989|Transaksi aman dan terpercaya|Pengalaman menggunakan buka lapak adalah keamanan bertansaksi dan kemudahan untuk menghubungi CS saat terjadi masalah. Trusted dan cepat dalam menanggapi keluhan saat terjadi masalah dalam transaksi|5
5990|Pelayanan maksimal|Pelayanan buat owner dan customer sangat baik,terimakasih.|5
5991|Semua kebutuhan ada top markotop|Respon keluhan cepat ditanggapi|5
5992|Puas baget,,,|Pokonya puas slma blnja dBL,gak nyesel kok barang ydtawarkanpun gak mengecewakan,CS jga respon bgt,,,thanks BL|5
5993|Transaksi terjamin keamananya|Transaksi aman tanpa hawatir. Cuma ada sedikit keluhan untuk kami di luar pulau jawa,karna ada beberapa pelapak memberikan berat barang yg tidak sesuai dgb barang Jadinya berat di ongkir|5
5994|Online shop terpercaya|Dalam melakukan transaksi selalu merasa nyaman dan aman|5
5995|Cepat, sesuai pesanan.|Baik : Cepat, sesuai pesanan, bisa komplain Tidak baik : Pernah mengalami pengiriman lama sampai tapi karna ada kesalahan teknis.|5
5996|Luar Biasa!!!!!!|Belanja Online mudah,aman,terpercaya,trusted,reccomended&banyak pilihannya!! ya di BUKALAPAK , sy sudah berkali-kali belanja & transasksi disini aman,barang selalu terkirim sesuai keinginan,gambar & juga deskripsinya. Hehe|5
5997|Oke lah|Idaman custamer indonesia|5
5998|Baik Sekali|Pelayanannya Sangat Baik, Sy senang belanja|5
5999|Mudah dalam belanja dan aman|Bukalapak memudahkan saya dalam berbelanja kebutuhan yang sulit saya dapatkan di toko sekitar rumah / daerah saya. Systemnya juga aman dan saling menguntungkan.|5
6000|Belaja Hemat dan Aman Hanya di Bukalapak|Belaja Hemat dan Aman Hanya di Bukalapak|5
6001|Tidak takut penipuan|Barang yang dikrim persis dengan gambar dan berkualitas sekali,tetapi ada yang mengirimkan barangnya itu rusak,dan tidak bisa diretur oleh pelapak.|5
6002|Baik|Belanja mudah ya di BUKALAPAK|5
6003|dah mantap lah ..|semangat terus buat para adminya .. jaga terus mitranya b.. dan teruslah berkembang maju ..|5
6004|Online shop trusted|Pelayanan baik dan aman. Untuk masalah - masalah pembelian dan lainnya masih kurang dari pelayanan bantuan.|5
6005|Harganya bisa di Nego|Barang-barangnya murah bisa di nego pula.Cuman kadang pengirimannya suka lama nyampe|4
6006|Aman|Jika transasi gagal uang bisa kembali 100%,aman banget|5
6007|Pre-Order feature Needs|Kalau bisa ada fitur Pre Order lebih baik Karena ada beberapa item yang kita jual, impor dan harus menunggu masa tunggu (indent), dengan adanya pre order kami penjual juga dimudahkan Overall bagus kok, both as a seller and buyer Cuma pengingat pengirimannya suka lebai, spamming aja gitu di email.|5
6009|Aman, mudah, dan tidak ribet|Belanja dibuka lapak itu ga seribet tetangga sebelah.. Dan sistem pembayarannya jauh lebih aman dari pada yang lain. Sudah diskon, masih bisa nego lagi. Bukalapak memang terbaik dah|5
6010|No tipu - tipu, puas,aman dan terpercaya.|belanja diBL gak khawatir ditipu n transaksi aman dan terpercaya dgn jaminan uang kembali 100% pokoke puuuuuuaaaaaassss....!!!|5
6011|ASLI !!! TIDAK ADA PENIPUAN|semua barang sampai dengan cepat|5
6012|The best|Tepercaya banget lalu aman pula..|5
6014|bukalapak selama saya bertransaksi sangat terpecaya & memuaskan|Namun ada pelapak yg me-mark up berat secara over (asesoris motor) sehingga ia mengambil keuntungan bukan dari harga barang aja tetapi dari selisih ongkir tsb dan ini tidak mampu diatasi oleh bukalapak|4
6015|joss....oke banget....|Oke....komplit, harga bersaing, fitur beragam dan terus berinovasi.....|5
6016|BUKA LAPAK sangat membantu.|Apabila butuh sesuatu buka saja BUKA LAPAK, memudahkan berbelanja, gak perlu repot cari barang ke pasar, sehari dua hari,tiga hari barang sampai kerumah. Terima Kasih BUKA LAPAK|5
6018|Bagus|Semuanya bisa didapat dengan mudah dan penjualnya trusted|5
6019|Terbaik|Belanja apa aja ada di bukalapak, jos pkok'e,,|5
6020|Cukup bagus, Perbaiki homepagenya|Overall udah cukup bagus sih, cuma kalo bisa perbaiki tampilannya yang lebih simple/minimalis biar gak pusing ngeliat tampilan antar mukanya. halaman utamanya yang sekarang terlalu rame, itu aja..|4
6021|Mudah|Belanja barang apa aja mudah dan aman.|5
6022|Aman banget|Belum ketm yg gak oke..semua sip|5
6023|alhamdulilah transaksinya aman, ada jaminan uang kembali|Semua jenia barang lengkap, aman, dan mudah bertransaksi|5
6025|Weeeeerrrkkkk|Sudah baik, makin lebih baik kalau tiap pembelian dg harga tertentu, ongkir free.|4
6027|pengiriman nya tepat wkt,barang lbh murah harga nya|Cukup baik|5
6028|Aman dan terjamin|Pelayanannya cepat|5
6029|jaminan uang kembali 100% sudah terbukti, itu pengalaman saya|berbagai macam barang tersedia di BL dan harganya sangat variatif, yang tidak baiknyaadalah ketika terkendala VERIVIKASI PEMBAYARAN, terlalu slow respon, dan itu sangat berpengaruh terhadap TRUST bagi calon buyer (saya sebagai dropship), dan ini adalah pengalaman saya beberapa waktu yang lalu|5
6030|mempermudah pencarian barang-barang yang dibutuhkan|keamanan berbelanja terjamin|5
6031|Gampang dan nyaman|Filter Brang bekas dan baru kurang clier|5
6032|Lengkap & terpercaya|Pertahankan.|5
6033|Memakmurkan Indonesia|UKM dan buyer lbh simple|5
6034|Nyari barangnya enak soalmya banyak pelapaknya. Emang bukalapak|Pemesanan cepat tanggap.|5
6035|Akurat|Bukalapak aplikasi kedua yg sy download, tapi menjadi prioritas pertama sy belanja online, mudah, variatif dan akurat dlm penyampaian informasi, mohon ditambahkan layanan pengaduan yg lbh fleksibel...|5
6036|Akses Mudah|Baik: Mudah di akses, Aman, Fast Respons Tidak Baik: Bila memang tidak ada barang, mohon untuk pelapak menghapus iklan/lapak yg tersedia|4
6037|Aman dan praktis|Akan lebih baik kalau ada COD|5
6038|Variasi Produk yang Menakjubkan|Saya sering mencari produk rumah tangga yang saya perlukan di bukalapak.com, karena hanya di bukalapak.com yang menyediakan variasi pilihan produk rumah tangga yang sangat beragam dengan harga yang terjangkau, dan yang tidak kalah pentingnya juga dengan kualitas/orisinalitas terjamin.|5
6039|Bagus|Harusny kode unik masuk ke dompet pembeli|4
6040|Pelayanannya cukup bagus|Semoga untuk kedepannya menjadi lebih baik lagi dan memberikan harga diskon yang lebih gilaaa...., terimakasih.|4
6041|nyaman dan aman|di mulai dari kebutuhan belanja aman dan nyaman...serta efisien, BUKA LAPAK hadir dan mampu menjawab semua kebutahan itu...dengan beragam pilihan serta metode pembayaran, BUKA LAPAK membuktikan bahwa belanja itu gak ribet, gk beresiko dan luar biasa. trims|4
6043|toko online terbaik|puas banget belanja di bukalapak. baik pelayanan dan pengecekan pengiriman barang sangat aman dan mudah. gak takut kena tipu. terimakasih bukalapak. semoga kedepannya semakin baik lagi.|5
6044|safe|murah dan aman. beberapa hal direct buy to supplier|5
6045|Beri kepercayaan lebih untuk customer|Buat fitur COD|4
6046|Aman dan sangat mudah|Sangat aman dan nyaman berbelanja dibukalapak,semua barang yg aku beli semuanya sampe tepat waktu dan memuaskan,orang2 nya jg sangat ramah,Godbless You Bukalapak|5
6047|sangat mudah belanja di bukalapak dan barang bagusbsesuai dg kat|Kayanya sesuai dengan apa yg kita perlukan|5
6048|Bukalapak emang ok, tapi akan lebih baik kalo ada gift'y jg|"So far pelayanan bukalapak cukup memuaskan, akan lbh baik jika brg"" yg d'jual oleh para pelapak bs sesuai dng gmbr krn kdng brg yg dtg tdk sma dng gbr display yg kita pesan"|5
6049|Lumayan praktis|Kita tidak perlu upload bukti transfer, sistem sudah otomatis mengenali transaksi kita.|4
6050|better than olx|akan lebih baik jika respon cs lebih cepat|4
6051|Sangat baik, perlu perbaikan|Saya senang berbelanja di bukalapak. Terutama karena reviewnya yg tergantung dari pembeli. Jd bukan semua orang bisa me-review. Sayangnya di-update terbaru ada fitur 'review barang non-login' seperti di tojo sebelah. Buat saya itu secara tidak langsung 'menipu' konsumen. Karena patokan saya adalah bintang tersebut. Selain itu, tampilan aplikasi mobile lebih baik 'dirapikan' kalau tidak mau terus menerus kalah dengan toko sebelah yg lebih baik dari segi interface. Sekian|4
6052|Online shop terpercaya|Bukalapak memiliki jenis barang dan rentang harga yang lengkap, jadi pelanggan bisa memilih mana yang terbaik. Kemudian sistem pembayaran yang aman dan selama ini tidak menghadapi masalah berarti.|5
6053|Cepat, Tanggap, dan Aman|Hmm belanja di bukalapak itu aman banget, Sellernya juga ramah ramah, CSnya baik dan sangat membantu jika saya ada masalah|5
6054|Bagus|Secara umum buka lapak bagus..terus maju..dan terus memperbaiki sgala yang kurang untuk menjadi yang terbaik..lihat,dengarkan,dan rasakan,semua tentang keinginan para pelanggan ...maju terus buka lapak..aku mendukung mu|4
6055|Aman dan bertanggung jawab|Transaksi aman dan bertanggung jawab,jika ada transaksi yang itemnya tidak ada,langsung diganti dari penjual lainnya oleh bukalapak.|5
6056|Salam sukses bukalapak|Maju terus. Bertransaksi selalu jujur dan baik. Tingkatkan selalu demi kepuasan konsumen|5
6057|Belanja Praktis dan Terjamin|Proses belanja sangat mudah, pengiriman cepat, apa saja yang dibutuhkan tersedia serta terjamin aman dan menyenangkan.|5
6058|Nama Tradisional Transaksi Profesional|Tak ada keraguan bertransaksi di Bukalapak, Pembeli maupun Penjual sama-sama enjoy.....|5
6059|BUKALAPAK, apa yang kamu butuhkan tersedia|Sambil tiduran kita bisa belanja kebutuhan & transaksi aman jaminan 100% uang kembali. Ingat!! Bisa nego lagi..|5
6060|Lengkap dan asli|"Barang di bukalapak lengkap dan respon CS.nya cepat. Kalau bisa lebih baik lagi dan selalu ada promo"" menarik. Agar konsumen banyak yang berminat"|5
6061|Sangat mudah berbelanja|Setiap layanan pelanggan sebaiknya disediakan hotline service 24 jam sehingga mudah dihubungi|4
6062|Semua ada|Sangat membantu memenuhi kebutuhan yg kita inginkan, harga yg berfariatif hingga bs memilih sesuai kantong kt Msalah bgus tdkx barang trgntung dg harga n ketelitian anda memilihnya Stok habis uang kembali 100%|5
6063|Puas|Selalu belanja di BL karena mudah dan praktis. Suka banget deh...|5
6064|mantap|Sangat baik berbelanja di di bukalapak,aman|5
6065|Good Service|Knpa saya cukup puas belanja melalui situs ini. Disamping harga barangnya yg lebih murah, tetapi karena pelayanannya yg seolah-olah kita benar-benar dijadikan raja.|5
6067|pelayanan oke|pelayanannya pelapaknya sangat cepat. tidak perlu takut ditipu.|5
